Date_Session,Program Type,District Name,Mandal Name,School Name,School UDISE Code,Language,Final_Milestone,Student_Count,Expected_Students
2025-08-24,LAB,HOSUR,MULLAINAGAR,GOVERNMENT HIGHER SECONDARY SCHOOL MULLAINAGAR,10023459890,en,5,1,NA
2025-08-25,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,1,19,13
2025-08-25,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,2,7,13
2025-08-25,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,4,2,13
2025-08-25,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,5,1,13
2025-08-25,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,6,4,13
2025-08-25,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,7,1,13
2025-08-25,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,8,1,13
2025-08-25,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,9,2,13
2025-08-25,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,10,1,13
2025-08-25,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,kn,1,36,NA
2025-08-25,LAB,HOSUR,MULLAINAGAR,GOVERNMENT HIGHER SECONDARY SCHOOL MULLAINAGAR,10023459890,en,1,6,NA
2025-08-25,LAB,HOSUR,MULLAINAGAR,GOVERNMENT HIGHER SECONDARY SCHOOL MULLAINAGAR,10023459890,en,3,2,NA
2025-08-25,LAB,HOSUR,MULLAINAGAR,GOVERNMENT HIGHER SECONDARY SCHOOL MULLAINAGAR,10023459890,en,5,1,NA
2025-08-26,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,1,19,NA
2025-08-26,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,2,7,NA
2025-08-26,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,4,2,NA
2025-08-26,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,5,1,NA
2025-08-26,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,6,4,NA
2025-08-26,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,7,1,NA
2025-08-26,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,8,1,NA
2025-08-26,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,9,2,NA
2025-08-26,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,10,1,NA
2025-08-26,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,kn,1,36,NA
2025-08-26,LAB,HOSUR,MULLAINAGAR,GOVERNMENT HIGHER SECONDARY SCHOOL MULLAINAGAR,10023459890,en,1,6,NA
2025-08-26,LAB,HOSUR,MULLAINAGAR,GOVERNMENT HIGHER SECONDARY SCHOOL MULLAINAGAR,10023459890,en,3,2,NA
2025-08-26,LAB,HOSUR,MULLAINAGAR,GOVERNMENT HIGHER SECONDARY SCHOOL MULLAINAGAR,10023459890,en,5,1,NA
2025-08-27,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,1,19,NA
2025-08-27,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,2,7,NA
2025-08-27,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,4,2,NA
2025-08-27,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,5,1,NA
2025-08-27,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,6,4,NA
2025-08-27,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,7,1,NA
2025-08-27,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,8,1,NA
2025-08-27,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,9,2,NA
2025-08-27,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,10,1,NA
2025-08-27,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,kn,1,36,NA
2025-08-27,LAB,HOSUR,MULLAINAGAR,GOVERNMENT HIGHER SECONDARY SCHOOL MULLAINAGAR,10023459890,en,1,6,NA
2025-08-27,LAB,HOSUR,MULLAINAGAR,GOVERNMENT HIGHER SECONDARY SCHOOL MULLAINAGAR,10023459890,en,3,2,NA
2025-08-27,LAB,HOSUR,MULLAINAGAR,GOVERNMENT HIGHER SECONDARY SCHOOL MULLAINAGAR,10023459890,en,5,1,NA
2025-08-28,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,1,19,NA
2025-08-28,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,2,7,NA
